X,Y,id,
9.868342186471105,37.290165942924801,1
9.868281185195718,37.290395362986487,2
9.868064907946613,37.290523308486264,3
9.868087090228572,37.290686548980425,4
9.868253457343268,37.290823317770418,5
9.868530735867759,37.290827729662738,6
9.868719285264415,37.290995381378885,7
9.868935562513521,37.290964498196089,8
9.869074201775765,37.290774786937924,9
9.869207295467522,37.290510072754991,10
9.869185113185562,37.290126235535411,11
9.869368117011728,37.289782103949591,12
9.869301570165851,37.289490914455257,13
